EP ID,SMILES,Es-Ea (eV),LUMO_sol (eV),HOMO_sol (eV),Dielectric constant of solvents,binary_features,cluster,PC1,PC2,PC3
ep-938913,CC(CF)OC(=O)OC(F)(F)F,1.1330322301953700,-0.73470726,-8.308178542,11.2225,"[1, 1, 1, 1, 0]",2,6.462867747304460,0.24481644259690800,-0.3113292461994760
ep-938915,COC(=O)OC(F)(CF)C(F)(F)F,1.3532686688184100,-0.271841686,-8.137835303,8.0898,"[1, 1, 1, 1, 0]",2,6.1890546243476,0.2434200759303340,0.5317512243615770
ep-938917,COC(=O)OC(C(F)F)C(F)(F)F,1.2557278337516700,-0.687631573,-8.023819621,3.294,"[1, 1, 0, 1, 0]",2,3.0839208684327500,-0.07030318387067740,0.5726370161715610
ep-938919,CC(OC(=O)OC(F)F)C(F)(F)F,1.253463480187120,-0.589942718,-8.361240733,8.4465,"[1, 1, 1, 1, 0]",2,6.515348256288210,0.1682240652700580,0.10655708881639400
ep-938920,COC(=O)OC(F)(C(F)F)C(F)F,1.1834978079975200,-0.615249302,-8.221102126,23.4802,"[1, 1, 1, 1, 0]",2,7.015748670504810,0.42183909369400800,-0.6965571604771430
ep-938923,O=C(OCF)OC(C(F)F)C(F)F,1.1159198879451900,-0.719741001,-8.233891474,7.9177,"[1, 1, 1, 1, 0]",2,6.138234244788370,0.2381170820835040,-0.15279786989113000
ep-938925,CC(OC(=O)OC(F)(F)F)C(F)F,1.3553603841429000,-0.730081325,-8.491039015,5.9568,"[1, 1, 1, 1, 0]",2,6.713937004524300,0.04940421124700880,0.42981138127750300
ep-938930,O=C(OCF)OC(F)(CF)C(F)(F)F,0.9632278920352110,-0.380415092,-8.209401232,21.0187,"[1, 1, 1, 1, 0]",2,6.63351894336373,0.4777071202437490,-1.208658148864830
ep-938942,COC(=O)OC(F)(C(F)(F)F)C(F)(F)F,1.1854611093505700,-0.244086079,-8.194434973,5.5421,"[1, 1, 1, 1, 0]",2,5.983581784437170,0.2414924520922820,0.14034164981542000
ep-940103,O=C(OCCF)OCC(F)F,0.9298007131431890,-0.338237453,-7.727759806,8.1885,"[1, 1, 0, 1, 0]",2,2.495239981282990,0.22023827072656800,-0.39182203870208800
ep-940111,O=C(OCCF)OCC(F)(F)F,1.1008541216776800,-0.623412716,-7.923681742,7.3629,"[1, 1, 0, 1, 0]",2,2.9741329587767900,0.06593717906243920,0.012597992939139000
ep-940114,O=C(OCCF)OC(F)C(F)F,1.157674648902420,-0.730353439,-8.148719855,26.1417,"[1, 1, 1, 1, 0]",2,7.014801640700300,0.4794906248872820,-0.8334670827066880
ep-940116,O=C(OCC(F)F)OC(F)CF,0.9911610610910890,-0.693073849,-8.063276122,17.4994,"[1, 1, 1, 1, 0]",2,6.2351472394386800,0.4562545878476200,-0.8355518778453970
ep-940117,O=C(OCC(F)F)OCC(F)F,0.9678075557888550,-0.592663856,-7.888306948,10.6671,"[1, 1, 0, 1, 0]",2,2.9586826329797400,0.15990638825449700,-0.49291312176567900
ep-940128,O=C(OCC(F)F)OCC(F)(F)F,1.1434793548438000,-0.713482384,-8.0273571,7.2997,"[1, 1, 0, 1, 0]",2,3.1973195102352300,0.007360265862257040,0.06984835588732610
ep-974370,FC(F)COCCOCC(F)(F)F,-0.0674,5.478739249,-8.191441721,58.7329,"[1, 0, 0, 1, 0]",2,4.5558513200701800,0.0154944676991606,-6.479911509315350
ep-98364,FC(F)C(F)(F)OCCOC(F)(F)C(F)F,0.463850996870783,5.574131818,-9.578391855,8.272997769,"[1, 1, 1, 1, 0]",2,7.499433708524380,0.42774588456901800,-3.4762145898598000
