EP ID,SMILES,Es-Ea (eV),LUMO_sol (eV),HOMO_sol (eV),Dielectric constant of solvents,binary_features,cluster,PC1,PC2,PC3
ep-1361,CC1CCOC1,0.8810797179049700,7.954702715,-7.602315344,8.3931,"[1, 0, 0, 0, 1]",4,-0.6714043948482350,-0.39128523534189100,0.08607902646905770
ep-1529,CC1CCCO1,1.0546870716345300,8.052119456,-7.590614451,1.4146,"[1, 1, 0, 0, 1]",4,-0.7356312451835790,0.88111699274439,0.9947356126021730
ep-154751,CCC1OCCC1(C)C,0.8883978366672690,8.198788794,-7.548164698,4.6494,"[1, 1, 0, 0, 1]",4,-0.806148719632508,0.9955440262226860,0.3945246110976680
ep-154757,CC(C)(C)C1CCCO1,0.8499814327312870,7.920416377,-7.53972917,6.8121,"[1, 1, 0, 0, 1]",4,-0.7264153964525440,1.0140517780162000,0.21508069103979100
ep-154795,CC(C)C1OCCC1C,0.908878781,8.115521971,-7.555783885,3.4375,"[1, 1, 0, 0, 1]",4,-0.8335651208009270,0.9654713555938360,0.5106761827173540
ep-154880,CCC1OCC(C)C1C,0.8527218000806310,7.98436312,-7.520136977,5.1246,"[1, 1, 0, 0, 1]",4,-0.8522385746749830,1.0049933888029700,0.3104394052076250
ep-154884,CCC1CCOC1CC,0.9177685529397830,8.14980831,-7.607213393,4.052,"[1, 1, 0, 0, 1]",4,-0.704433946719732,0.9540524453085820,0.467610284588909
ep-154886,CCC(C)C1CCCO1,0.8703967777479620,7.937287432,-7.547348357,4.4041,"[1, 1, 0, 0, 1]",4,-0.8239487076779810,0.9773137059703360,0.37876458198943400
ep-154889,CCC1OCCCC1C,0.971185802829536,8.293484396,-7.65211217,2.3348,"[1, 1, 0, 0, 1]",4,-0.674725153441601,0.9125021406684290,0.6540417645977440
ep-155025,CC(C)C1CCCCO1,0.9018978512625700,8.258381716,-7.618642172,7.5081,"[1, 1, 0, 0, 1]",4,-0.519857607930692,1.0051416790673900,0.24316089413434900
ep-155105,CCCC1OCCC1C,0.8622800141636480,8.059738642,-7.537008032,6.5873,"[1, 1, 0, 0, 1]",4,-0.73891532101631,1.0198205572458100,0.25000093759724200
ep-155111,CC1COC(C(C)C)C1,0.8553675310487810,7.960961333,-7.577552989,5.7728,"[1, 1, 0, 0, 1]",4,-0.7138375288093590,0.9889860329553880,0.24908290624581900
ep-156502,CCC1CC(C)(C)CO1,0.8624667605124840,7.901640524,-7.535103236,5.6993,"[1, 1, 0, 0, 1]",4,-0.7811454788723490,0.9971238127659760,0.30724874964475100
ep-156507,CCC1CC(C)CCO1,0.9224117644113990,8.286137324,-7.636601683,5.7866,"[1, 1, 0, 0, 1]",4,-0.5629514610068210,0.9737808427664770,0.36661428224163700
ep-156603,CCCC1CCC(C)O1,0.7918774164517430,8.172121642,-7.520136977,3.3218,"[1, 1, 0, 0, 1]",4,-1.0195826202648000,1.015235808549770,0.20903136364575500
ep-156605,CCC1CCCC(C)O1,0.9313646039295430,8.422194224,-7.622179652,2.3149,"[1, 1, 0, 0, 1]",4,-0.7739219378061770,0.944943309531971,0.5535366495279240
ep-156610,CCCC1CCCCO1,0.8793487620340460,8.304368948,-7.577008761,8.0832,"[1, 1, 0, 0, 1]",4,-0.5857173771406550,1.037707824049470,0.17825299598195700
ep-156704,CCCC1CC(C)CO1,0.8158976406294420,8.133753596,-7.633064204,4.4128,"[1, 1, 0, 0, 1]",4,-0.7392457229236250,0.9767302550033390,0.1489787491150830
ep-156785,CCCCC1CCCO1,0.7750877680662130,8.025452303,-7.528300391,7.1013,"[1, 1, 0, 0, 1]",4,-0.8099692482239000,1.0515574396718400,-0.009002077903248240
ep-156788,CCC1CCC(C)CO1,0.9614126008898660,8.269266268,-7.645853552,2.2963,"[1, 1, 0, 0, 1]",4,-0.6959010462579420,0.9152350356720150,0.6349890101474040
ep-157167,CCC1CC(OC)CO1,0.6134002403567470,8.079875063,-7.713609889,7.574,"[1, 1, 0, 0, 1]",4,-0.6248788276246210,1.0390905673829500,-0.6180186009241990
ep-157683,CCC1(C)CCCCO1,0.8879775448350860,7.996336127,-7.549797381,5.2876,"[1, 1, 0, 0, 1]",4,-0.7580839536510170,0.9868357097531850,0.3795454095655300
ep-157705,CCC1OCCOC1C,1.203168954732290,7.929396132,-7.985179461,1.0627,"[1, 1, 0, 0, 1]",4,0.08206540248256700,0.6781652777284010,1.1605323681719300
ep-157757,CCC1CCC(CC)O1,0.9216891601022700,8.403962599,-7.609390303,2.2597,"[1, 1, 0, 0, 1]",4,-0.8075581835222150,0.9503423104530490,0.5396071418318540
ep-165837,CC1(C)COCC1(C)C,0.8953683487190460,8.163141886,-7.577280875,4.9638,"[1, 0, 0, 0, 1]",4,-0.8972688795932360,-0.41146553404479900,0.28714922859983000
ep-165840,CC(C)C1(C)CCOC1,0.9354521766912100,8.05456848,-7.59986632,3.1102,"[1, 0, 0, 0, 1]",4,-0.9126939025821840,-0.46253919718555600,0.480020973228606
