EP ID,SMILES,Es-Ea (eV),LUMO_sol (eV),HOMO_sol (eV),Dielectric constant of solvents,binary_features,cluster,PC1,PC2,PC3
ep-2567,COC(C)(C)OC,1.1475450585994300,8.058922301,-7.939192229,1.6696,"[1, 1, 0, 0, 0]",1,0.08027339923856650,0.4435097298112410,-0.23189285315083600
ep-2681,CCC(CC)OC,1.0700884043106800,8.157427496,-7.729392489,1.2875,"[1, 1, 0, 0, 0]",1,-0.3855867913586640,0.5466760535493790,-0.2919258265357120
ep-2737,CCCC(C)OC,0.9954407137318440,8.223279036,-7.686398509,2.864,"[1, 1, 0, 0, 0]",1,-0.45204193522167200,0.608449114680893,-0.5504402937569240
ep-2743,CCOC(C)CC,0.9840190975248750,8.239877978,-7.643404528,1.2965,"[1, 1, 0, 0, 0]",1,-0.623242846792611,0.6098487962604360,-0.479867919122247
ep-2942,CC(C)OC(C)C,0.8941798601421600,8.445596011,-7.550341609,4.5526,"[1, 1, 0, 0, 0]",1,-0.7086150258335000,0.7261289726074150,-0.8368684775994570
ep-2947,CCCOC(C)C,0.92475511568669,8.295933421,-7.595512499,4.2501,"[1, 1, 0, 0, 0]",1,-0.6082927255427500,0.6850810582020400,-0.7559233206342060
ep-3797,CCOCC(C)=O,1.0273053181499800,0.471573215,-7.371834956,1.4049,"[1, 0, 0, 0, 0]",1,-0.7821365285944790,-1.310156049112160,0.3989831257331410
ep-3941,CCCCOCC,1.0493242662548000,8.491039015,-7.781638339,1.3815,"[1, 0, 0, 0, 0]",1,-0.4961953695651860,-0.8344668933004100,-0.5144196850439700
ep-4216,CCCOCCC,1.0021201003408800,8.501651453,-7.680684119,2.8045,"[1, 0, 0, 0, 0]",1,-0.6414255900946220,-0.7652712598115860,-0.6435831316538580
ep-4226,CCCOCOC,0.6571549215652010,7.987628485,-8.061643439,1.8673,"[1, 0, 0, 0, 0]",1,-0.34145874540953100,-0.8601310164887040,-1.7871039492409100
ep-431,COC(C)(C)C,0.9314864168099790,7.938375887,-7.600682662,3.7317,"[1, 1, 0, 0, 0]",1,-0.6008357416623430,0.6466203046749480,-0.685601275384887
ep-4572,CCOC(C)OC,0.5432464958276040,8.064636691,-7.978920844,1.3933,"[1, 1, 0, 0, 0]",1,-0.45914104815229500,0.5986900807080620,-1.9372642243396600
ep-471331,CCC(C)(OC)C(C)=O,1.0178426294275700,0.662324989,-7.417005847,2.2623,"[1, 1, 0, 0, 0]",1,-0.5100760733358990,0.0965678540799058,0.3788209979862690
ep-471337,CCC(OC)C(=O)C=O,0.712733667397486,-0.378238182,-8.083684657,5.5929,"[1, 1, 0, 0, 0]",1,0.5837607198114530,-0.10529876231538500,-1.0092284789200300
ep-471339,CCOC(CC)C(C)=O,0.3579876622645720,0.557561176,-7.358773493,2.3143,"[1, 1, 0, 0, 0]",1,-1.2500377951212500,0.2992747610971720,-1.4192268020612900
ep-473784,COC(=O)C(C)(C)OC,0.5769165800933360,0.259596565,-7.379454142,7.2437,"[1, 1, 0, 0, 0]",1,-0.7169768215981990,0.26559877559990300,-1.0279464928829500
ep-473785,CCOC(=O)C(C)OC,0.4693748534653370,0.226942909,-7.377005118,6.8561,"[1, 1, 0, 0, 0]",1,-0.845857597444128,0.2899524191745320,-1.3059372682562400
ep-473790,CCC(OC)C(=O)OC,0.7285703417372420,0.226942909,-7.470884379,3.3194,"[1, 1, 0, 0, 0]",1,-0.619401553016983,0.13777479916256300,-0.4803286592228580
ep-473816,COC(C)COC(C)=O,0.9618529676889020,0.207622829,-7.392515605,8.3771,"[1, 1, 0, 0, 0]",1,-0.2525375524385770,0.16037319992727700,-0.00945105722323474
ep-473851,COCC(C)OC(C)=O,0.9620208409646500,0.246262989,-7.353331217,4.4187,"[1, 1, 0, 0, 0]",1,-0.5359040962980130,0.12959137378795100,0.20154306927782200
ep-473859,COC(=O)C(OC)OC,0.5556235678522900,0.113471455,-7.526667708,5.9759,"[1, 1, 0, 0, 0]",1,-0.5428758330261090,0.18999785084634400,-1.1184424573203000
ep-473930,CCCOCC(=O)OC,0.4246380072388210,0.186397953,-7.385168532,8.2162,"[1, 1, 0, 0, 0]",1,-0.8000204738536970,0.31311932073425300,-1.4973312755279000
ep-473940,COCOCC(=O)OC,0.3336287122713800,0.035374794,-7.468435355,5.6128,"[1, 1, 0, 0, 0]",1,-0.8769659003656950,0.26450195234682700,-1.6746728861648800
ep-473949,CCCOC(=O)COC,0.6107599616269600,0.140410721,-7.355508128,2.9013,"[1, 1, 0, 0, 0]",1,-0.9528200270362100,0.20235314449148800,-0.7018168213386370
ep-473968,CCC(=O)OCCOC,0.9523927850906630,0.258235996,-7.359861949,4.4417,"[1, 1, 0, 0, 0]",1,-0.5334539634923880,0.1311489448544740,0.16792717918392400
