EP ID,SMILES,Es-Ea (eV),LUMO_sol (eV),HOMO_sol (eV),Dielectric constant of solvents,binary_features,cluster,PC1,PC2,PC3
ep-142,CC(=O)C=O,1.3328901699656000,-0.465858826,-8.152801562,2.2439,"[0, 0, 0, 0, 0]",3,0.9619811906492190,-4.715825141623080,0.48215176964107700
ep-2273,CC(C)C(=O)C=O,0.9743227827365570,-0.445722404,-8.107902785,1.5491,"[0, 0, 0, 0, 0]",3,0.4936356467756870,-4.6034857431912300,-0.4581972856074860
ep-3686,CCC(=O)CC=O,1.1856165816462900,-0.054694874,-7.711432978,1.6748,"[0, 0, 0, 0, 0]",3,-0.0013489199262287100,-4.4842726309919100,0.37113024354027800
ep-3721,O=CCC(=O)C=O,1.221570508069400,-0.494158661,-8.176475462,1.7924,"[0, 0, 0, 0, 0]",3,0.8709999141859420,-4.700524411634840,0.1779189178105250
ep-3737,CC(=O)CCC=O,1.1431940438469600,0.123539665,-7.590886565,1.9106,"[0, 0, 0, 0, 0]",3,-0.24917417021101900,-4.41040839994586,0.31057302627688700
ep-468861,CC(C)C(=O)C(C)C=O,0.4684815456722960,0.281093555,-7.615104693,3.5526,"[0, 0, 0, 0, 0]",3,-0.7895754582921760,-4.1938925809290900,-1.6842162025404700
ep-468920,CCCC(=O)C(C)C=O,1.0596898426878900,0.09306292,-7.590614451,3.2226,"[0, 0, 0, 0, 0]",3,-0.25916362075598600,-4.3728120095333700,0.01807121906974500
ep-468921,CCC(=O)CC(C)C=O,0.4837377901267450,0.48409045,-7.389250239,5.9253,"[0, 0, 0, 0, 0]",3,-1.0495335430488500,-4.069379685235640,-1.6123875185968200
ep-469201,CC(C)C(C)C(=O)C=O,1.1900929788352200,-0.231840958,-8.022186938,4.0248,"[0, 0, 0, 0, 0]",3,0.6784067303988590,-4.586232030567120,0.07039321803720170
ep-469248,CCCC(C)C(=O)C=O,1.2204599167597700,-0.334699974,-8.043956042,3.709,"[0, 0, 0, 0, 0]",3,0.7346341411804140,-4.614992736945430,0.16376542367589800
ep-469251,CCC(=O)C(C)CC=O,0.4790577950320680,0.296059814,-7.38788967,8.482,"[0, 0, 0, 0, 0]",3,-0.9081899522518630,-4.051190183002170,-1.7287510262940600
ep-469319,CCC(CC)C(=O)C=O,1.1320260221706700,-0.251705265,-7.983002551,7.7147,"[0, 0, 0, 0, 0]",3,0.7535451929201410,-4.511589434564650,-0.23656493079507300
ep-469322,CCC(CC=O)C(C)=O,0.9668976808884890,0.339053795,-7.400951132,6.9966,"[0, 0, 0, 0, 0]",3,-0.48923758478615900,-4.2103159300075,-0.3073191678128090
